,star_name,distance,radius,mass,lum,,Star_name,Distance,Radius,Mass
189,WISE 0008-1739,87.1,,
190,WISE 0015-4615,48.6,,
191,WISE 0031-3840,71.8,,
192,WISE 0032-4946,62.9,,
193,WISE 0038+2758,36.9,,
194,WISE 0038+8405,101.8,,
195,WISE 0040+0900,47.6,,
196,WISE 0049+0441,62.6,,
197,WISE 0049+2151,24.1,,
198,WISE 0106+1518,142.9,,
199,WISE 0123+4142,67.2,,
200,WISE 0135+1715,77.3,,
201,WISE 0138-0322,57.7,,
202,WISE 0146+4234,20.5,,
203,WISE 0148-7202,30,,
204,WISE 0150+3827,61.3,,
205,WISE 0206+2640,58.4,,
206,WISE 0221+3842,73.1,,
207,WISE 0223-2932,47,,
208,WISE 0226-0211,91,,
209,WISE 0241-3653,53.8,,
210,WISE 0245-3450,56.1,,
211,WISE 0247+3725,57.1,,
212,WISE 0305+3954,75,,
213,WISE 0307+2904,82.8,,
214,WISE 0313+7807,28,,
215,WISE 0316+4307,106.3,,
216,WISE 0321-7347,84.8,,
217,WISE 0323-6025,45.3,,
218,WISE 0325-3854,51.2,,
219,WISE 0325+0831,36.5,,
220,WISE 0333-5856,54.8,,
221,WISE 0335+4310,45.7,,
222,WISE 0336-0143,55.4,,
223,WISE 0350-5658,17.7,,
224,WISE 0359-5401,19.2,,
225,WISE 0410+1502,20,1.17,6
226,WISE 0410+1411,85.8,,
227,WISE 0413-4750,66.2,,
228,WISE 0448-1935,69.8,,
229,WISE 0458+6434A,35.9,4.2,15
230,WISE 0458+6434B,35.9,3.8,10
231,WISE 0500-1223,47,,
232,WISE 0513+0608,44.7,,
233,WISE 0525+6739,98.2,,
234,WISE 0528-3308,57.4,,
235,WISE 0535-7500,47,,
236,WISE 0539-1034,84.8,,
237,WISE 0542-1628,50.6,,
238,WISE 0607+2429,25.4,,
239,WISE 0611-0410,57.7,,
240,WISE 0612-4920,95.2,,
241,WISE 0612-3036,64.9,,
242,WISE 0614+3912,50.2,,
243,WISE 0614+0951,51.5,,
244,WISE 0623-0456,37.5,,
245,WISE 0625+5646,67.2,,
246,WISE 0627-1114,37.2,,
247,WISE 0647-6232,28,,
248,WISE 0656+4205,54.1,,
249,WISE 0713-2917,23.2,,
250,WISE 0723+3403,45.7,,
251,WISE 0733+7544,78.3,,
252,WISE 0734-7157,34.9,,
253,WISE 0744+5628,47.3,,
254,WISE 0750+2725,51.5,,
255,WISE 0751-7634,39.1,,
256,WISE 0759-4904,38.8,,
257,WISE 0811-8051,32,,
258,WISE 0812+4021,63.6,,
259,WISE 0819-0335,46,,
260,WISE 0821+1443,68.2,,
261,WISE 0836-1859,72.4,,
262,WISE 0857+5604,42.1,,
263,WISE 0906+4735,51.5,,
264,WISE 0929+0409,64.9,,
265,WISE 0952+1955,72.1,,
266,WISE 1018-2445,47.6,,
267,WISE 1019+6529,56.8,,
268,WISE 1039-1600,47.3,,
269,WISE 1042-3842,53.2,,
270,WISE 1051-2138,40.8,,
271,WISE 1122+2550,57.7,,
272,WISE 1124-0421,50.6,,
273,WISE 1147-2040,102,,
274,WISE 1150+6302,32.9,,
275,WISE 1217+1626A,34.2,,12
276,WISE 1217+1626B,34.2,,6
277,WISE 1225-1013,55.4,,
278,WISE 1311+0122,44.4,,
279,WISE 1311+3629,86.1,,
280,WISE 1318-1758,32.9,,
281,WISE 1320+6034,56.1,,
282,WISE 1322-2340,33.9,,
283,WISE 1348+6603,91,,
284,WISE 1405+5534,25.3,0.86,30
285,WISE 1433-0837,84.8,,
286,WISE 1436-1814,60,,
287,WISE 1457+5815,52.2,,
288,WISE 1506+7027,11.1,,
289,WISE 1517+0529,72.4,,
290,WISE 1519+7009,50.9,,
291,WISE 1523+3125,84.5,,
292,WISE 1541-2250,20,,
293,WISE 1542+2230,41.1,,
294,WISE 1612-3420,55.4,,
295,WISE 1614+1739,32.6,,
296,WISE 1617+1807,50.2,,
297,WISE 1622-0959,52.2,,
298,WISE 1627+3255,50.2,,
299,WISE 1639-6847,16.3,,
300,WISE 1647+5632,28,,
301,WISE 1653+4444,39.5,,
302,WISE 1711+3500,60.3,,
303,WISE 1717+6129,72.7,,
304,WISE 1721+1117,62.3,,
305,WISE 1728+5716,97.8,,
306,WISE 1738+2732,20,,
307,WISE 1741+2553,18.9,,
308,WISE 1746-0338,83.8,,
309,WISE 1800+0134,28.7,,57
310,WISE 1804+3117,30,,
311,WISE 1809+3838,74.4,,
312,WISE 1812+2721,47,,
313,WISE 1828+2650,36,,
314,WISE 1830+4542,107,,
315,WISE 1841+7000,131.1,,
316,WISE 1852+3537,55.4,,
317,WISE 1906+4508,51.5,,
318,WISE 1928+2356,22.8,,
319,WISE 1952+7240,44.4,,
320,WISE 1959-3338,37.2,,
321,WISE 2030+0749,34.2,,
322,WISE 2014+0424,96.2,,
323,WISE 2015+6646,50.6,,
324,WISE 2018-7423,47.9,,
325,WISE 2019-1148,42.4,,
326,WISE 2056+1459,24.5,,
327,WISE 2134-7137,42.7,,
328,WISE 2157+2659,61.6,,
329,WISE 2209-2734,46,,
330,WISE 2213+0911,58.7,,
331,WISE 2220-3628,26.4,,
332,WISE 2226+0440,45,,
333,WISE 2237-0614,53.5,,
334,WISE 2237+7228,46,,
335,WISE 2239+1617,59.7,,
336,WISE 2255-3118,44.7,,
337,WISE 2301+0216,60.7,,
338,WISE 2313-8037,35.9,,
339,WISE 2319-1844,52.2,,
340,WISE 2325-4105,37.5,,
341,WISE 2327-2730,70.8,,
342,WISE 2335+4222,90.3,,
343,WISE 2340-0745,37.8,,
344,WISE 2342+0856,51.2,,
345,WISE 2343-7418,48.6,,
346,WISE 2344+1034,46,,
347,WISE 2348-1028,54.1,,
348,WISE 2357+1227,54.8,,
349,WISE 2359-7335,42.7,,
350,WISEA 1101+5400,111,,
351,2M1510,120,,40 + 39 + ?
